visit_id,visited_at,time_slot,booth,category,grade,spent_won,wait_min,satisfaction
V000055,2026-09-18 16:58:00,16:00,다트 챌린지,게임,3,1000,5,4.7
V000056,2026-09-18 14:52:00,14:00,슬러시 카페,음식,2,2000,7,4.8
V000057,2026-09-18 12:53:00,12:00,떡볶이 가게,음식,1,3000,11,4.1
V000058,2026-09-18 15:43:00,15:00,캘리그라피 체험,체험,1,0,4,4.6
V000059,2026-09-18 13:21:00,13:00,방탈출 게임,게임,2,0,16,3.8
V000060,2026-09-18 16:32:00,16:00,다트 챌린지,게임,2,1000,7,5.0
V000061,2026-09-18 13:34:00,13:00,방탈출 게임,게임,1,0,15,4.8
V000062,2026-09-18 12:26:00,12:00,슬러시 카페,음식,3,2000,8,4.4
V000063,2026-09-18 15:55:00,15:00,방탈출 게임,게임,3,0,8,4.3
V000064,2026-09-18 14:55:00,14:00,다트 챌린지,게임,3,1000,6,4.9
V000065,2026-09-18 11:19:00,11:00,떡볶이 가게,음식,3,3000,6,4.7
V000066,2026-09-18 11:16:00,11:00,떡볶이 가게,음식,3,3000,9,4.9
V000067,2026-09-18 16:05:00,16:00,사진 부스,체험,2,0,5,4.6
V000068,2026-09-18 13:42:00,13:00,캘리그라피 체험,체험,2,1500,5,4.8
V000069,2026-09-18 11:40:00,11:00,방탈출 게임,게임,1,1000,10,4.2
V000070,2026-09-18 10:54:00,10:00,사진 부스,체험,1,0,4,4.7
V000071,2026-09-18 16:43:00,16:00,사진 부스,체험,2,2000,0,4.8
V000072,2026-09-18 14:42:00,14:00,사진 부스,체험,1,2000,5,4.0
V000073,2026-09-18 15:38:00,15:00,떡볶이 가게,음식,3,3000,7,4.7
V000074,2026-09-18 14:22:00,14:00,캘리그라피 체험,체험,2,1500,6,4.3
V000075,2026-09-18 13:29:00,13:00,캘리그라피 체험,체험,3,1500,8,4.8
V000076,2026-09-18 12:54:00,12:00,떡볶이 가게,음식,1,0,10,3.6
V000077,2026-09-18 11:27:00,11:00,사진 부스,체험,3,0,8,4.9
V000078,2026-09-18 15:40:00,15:00,슬러시 카페,음식,2,2000,6,4.7
V000079,2026-09-18 16:08:00,16:00,방탈출 게임,게임,1,1000,7,4.6
V000080,2026-09-18 13:44:00,13:00,다트 챌린지,게임,2,1000,2,5.0
V000081,2026-09-18 11:49:00,11:00,떡볶이 가게,음식,1,3000,6,4.4
V000082,2026-09-18 14:48:00,14:00,떡볶이 가게,음식,2,3000,10,4.7
V000083,2026-09-18 12:47:00,12:00,방탈출 게임,게임,2,1000,16,4.6
V000084,2026-09-18 13:57:00,13:00,슬러시 카페,음식,3,2000,8,4.2
V000085,2026-09-18 11:50:00,11:00,다트 챌린지,게임,1,1000,2,4.8
V000086,2026-09-18 11:22:00,11:00,떡볶이 가게,음식,3,0,4,4.7
V000087,2026-09-18 13:32:00,13:00,사진 부스,체험,2,2000,10,4.7
V000088,2026-09-18 15:57:00,15:00,슬러시 카페,음식,3,2000,4,4.7
V000089,2026-09-18 16:49:00,16:00,사진 부스,체험,2,2000,5,4.6
V000090,2026-09-18 15:26:00,15:00,슬러시 카페,음식,2,2000,7,4.6
V000091,2026-09-18 13:43:00,13:00,사진 부스,체험,3,2000,9,5.0
V000092,2026-09-18 16:17:00,16:00,방탈출 게임,게임,2,1000,8,4.6
V000093,2026-09-18 14:41:00,14:00,슬러시 카페,음식,3,2000,7,4.1
V000094,2026-09-18 13:53:00,13:00,방탈출 게임,게임,2,1000,17,4.0
V000095,2026-09-18 15:01:00,15:00,캘리그라피 체험,체험,3,1500,4,4.8
V000096,2026-09-18 13:25:00,13:00,방탈출 게임,게임,2,1000,14,4.0
V000097,2026-09-18 16:01:00,16:00,다트 챌린지,게임,3,1000,1,5.0
V000098,2026-09-18 15:20:00,15:00,슬러시 카페,음식,1,2000,5,4.9
V000099,2026-09-18 11:33:00,11:00,다트 챌린지,게임,2,1000,4,4.8
V000100,2026-09-18 11:36:00,11:00,방탈출 게임,게임,3,1000,11,4.4
V000101,2026-09-18 12:26:00,12:00,캘리그라피 체험,체험,3,1500,1,4.3
V000102,2026-09-18 12:07:00,12:00,슬러시 카페,음식,1,2000,7,5.0
V000103,2026-09-18 10:27:00,10:00,방탈출 게임,게임,1,1000,4,4.3
V000104,2026-09-18 10:45:00,10:00,떡볶이 가게,음식,3,3000,5,5.0
V000105,2026-09-18 15:22:00,15:00,다트 챌린지,게임,2,1000,2,5.0
V000106,2026-09-18 12:02:00,12:00,슬러시 카페,음식,1,2000,4,4.3
V000107,2026-09-18 13:01:00,13:00,방탈출 게임,게임,1,1000,14,4.6
V000108,2026-09-18 13:18:00,13:00,떡볶이 가게,음식,2,3000,11,4.0
V000109,2026-09-18 15:26:00,15:00,캘리그라피 체험,체험,3,0,3,4.5
V000110,2026-09-18 11:09:00,11:00,방탈출 게임,게임,1,1000,10,4.1
V000111,2026-09-18 13:25:00,13:00,떡볶이 가게,음식,2,3000,11,4.3
V000112,2026-09-18 16:50:00,16:00,다트 챌린지,게임,3,1000,5,4.8
V000113,2026-09-18 13:48:00,13:00,방탈출 게임,게임,2,1000,19,4.0
V000114,2026-09-18 14:42:00,14:00,캘리그라피 체험,체험,1,1500,3,4.7
V000115,2026-09-18 13:49:00,13:00,슬러시 카페,음식,3,2000,5,4.6
V000116,2026-09-18 15:36:00,15:00,방탈출 게임,게임,1,0,11,4.5
V000117,2026-09-18 13:19:00,13:00,다트 챌린지,게임,1,1000,6,4.9
V000118,2026-09-18 16:08:00,16:00,슬러시 카페,음식,2,2000,4,5.0
V000119,2026-09-18 13:04:00,13:00,슬러시 카페,음식,2,2000,8,4.6
V000120,2026-09-18 14:33:00,14:00,다트 챌린지,게임,1,1000,6,4.4
V000121,2026-09-18 11:08:00,11:00,슬러시 카페,음식,3,2000,4,4.6
V000122,2026-09-18 13:29:00,13:00,슬러시 카페,음식,3,2000,5,4.8
V000123,2026-09-18 14:12:00,14:00,다트 챌린지,게임,2,1000,4,4.3
V000124,2026-09-18 11:14:00,11:00,다트 챌린지,게임,1,0,2,5.0
V000125,2026-09-18 14:28:00,14:00,떡볶이 가게,음식,3,3000,9,5.0
V000126,2026-09-18 13:03:00,13:00,다트 챌린지,게임,1,1000,6,4.8
V000127,2026-09-18 16:37:00,16:00,슬러시 카페,음식,3,2000,7,4.8
V000128,2026-09-18 12:50:00,12:00,슬러시 카페,음식,2,2000,7,4.5
V000129,2026-09-18 13:57:00,13:00,떡볶이 가게,음식,2,3000,11,4.3
V000130,2026-09-18 13:55:00,13:00,다트 챌린지,게임,1,1000,6,4.3
V000131,2026-09-18 16:01:00,16:00,방탈출 게임,게임,2,1000,5,4.9
V000132,2026-09-18 14:15:00,14:00,다트 챌린지,게임,1,1000,11,4.4
V000133,2026-09-18 14:10:00,14:00,떡볶이 가게,음식,1,3000,11,4.7
V000134,2026-09-18 15:47:00,15:00,사진 부스,체험,3,2000,5,5.0
V000135,2026-09-18 14:54:00,14:00,방탈출 게임,게임,3,0,16,3.9
V000136,2026-09-18 14:28:00,14:00,다트 챌린지,게임,2,0,6,4.7
V000137,2026-09-18 14:17:00,14:00,사진 부스,체험,1,2000,7,4.8
V000138,2026-09-18 15:41:00,15:00,캘리그라피 체험,체험,2,1500,6,4.9
V000139,2026-09-18 16:04:00,16:00,떡볶이 가게,음식,2,3000,4,4.7
V000140,2026-09-18 13:39:00,13:00,떡볶이 가게,음식,1,3000,12,4.4
V000141,2026-09-18 15:11:00,15:00,캘리그라피 체험,체험,1,0,4,4.9
V000142,2026-09-18 11:25:00,11:00,방탈출 게임,게임,3,1000,7,4.6
V000143,2026-09-18 14:08:00,14:00,슬러시 카페,음식,1,2000,6,5.0
V000144,2026-09-18 12:27:00,12:00,방탈출 게임,게임,1,1000,14,5.0
V000145,2026-09-18 13:14:00,13:00,다트 챌린지,게임,1,1000,3,5.0
V000146,2026-09-18 10:08:00,10:00,슬러시 카페,음식,2,2000,3,4.6
V000147,2026-09-18 14:56:00,14:00,떡볶이 가게,음식,1,3000,9,4.8
V000148,2026-09-18 13:08:00,13:00,슬러시 카페,음식,1,2000,10,4.3
V000149,2026-09-18 13:05:00,13:00,사진 부스,체험,3,2000,9,4.7
V000150,2026-09-18 12:40:00,12:00,떡볶이 가게,음식,1,3000,8,4.6
V000151,2026-09-18 14:14:00,14:00,떡볶이 가게,음식,3,3000,10,4.6
V000152,2026-09-18 16:50:00,16:00,캘리그라피 체험,체험,2,1500,3,4.9
V000153,2026-09-18 12:54:00,12:00,방탈출 게임,게임,2,0,15,4.2
V000154,2026-09-18 12:10:00,12:00,다트 챌린지,게임,2,1000,5,4.8
V000155,2026-09-18 13:02:00,13:00,사진 부스,체험,1,2000,8,4.4
V000156,2026-09-18 12:13:00,12:00,떡볶이 가게,음식,3,3000,13,4.2
V000157,2026-09-18 12:17:00,12:00,다트 챌린지,게임,2,1000,3,5.0
V000158,2026-09-18 15:53:00,15:00,떡볶이 가게,음식,1,3000,10,4.7
V000159,2026-09-18 11:26:00,11:00,슬러시 카페,음식,1,2000,6,4.6
V000160,2026-09-18 16:51:00,16:00,방탈출 게임,게임,1,1000,8,5.0
V000161,2026-09-18 12:30:00,12:00,방탈출 게임,게임,2,1000,15,4.3
V000162,2026-09-18 10:50:00,10:00,다트 챌린지,게임,1,0,0,4.6
V000163,2026-09-18 14:55:00,14:00,떡볶이 가게,음식,1,3000,12,4.4
V000164,2026-09-18 16:23:00,16:00,방탈출 게임,게임,3,1000,8,4.4
V000165,2026-09-18 15:19:00,15:00,떡볶이 가게,음식,3,0,7,4.6
V000166,2026-09-18 14:17:00,14:00,캘리그라피 체험,체험,1,1500,1,5.0
V000167,2026-09-18 12:18:00,12:00,사진 부스,체험,1,2000,8,5.0
V000168,2026-09-18 14:16:00,14:00,사진 부스,체험,3,0,13,4.4
V000169,2026-09-18 16:45:00,16:00,떡볶이 가게,음식,1,0,8,4.6
V000170,2026-09-18 15:18:00,15:00,슬러시 카페,음식,3,2000,11,4.2
V000171,2026-09-18 11:53:00,11:00,슬러시 카페,음식,3,2000,6,4.5
V000172,2026-09-18 12:08:00,12:00,방탈출 게임,게임,2,0,11,4.5
V000173,2026-09-18 12:24:00,12:00,사진 부스,체험,1,0,11,4.9
V000174,2026-09-18 11:09:00,11:00,슬러시 카페,음식,1,2000,5,5.0
V000175,2026-09-18 16:12:00,16:00,다트 챌린지,게임,3,1000,0,5.0
V000176,2026-09-18 14:06:00,14:00,사진 부스,체험,3,2000,10,4.6
V000177,2026-09-18 12:15:00,12:00,다트 챌린지,게임,1,0,3,4.7
V000178,2026-09-18 15:55:00,15:00,사진 부스,체험,2,2000,8,4.7
V000179,2026-09-18 12:34:00,12:00,슬러시 카페,음식,1,2000,9,4.9
V000180,2026-09-18 10:01:00,10:00,캘리그라피 체험,체험,1,1500,3,4.6
V000181,2026-09-18 16:07:00,16:00,슬러시 카페,음식,2,2000,3,4.7
V000182,2026-09-18 15:00:00,15:00,캘리그라피 체험,체험,1,0,0,4.9
V000183,2026-09-18 10:06:00,10:00,사진 부스,체험,3,2000,3,4.5
V000184,2026-09-18 10:20:00,10:00,방탈출 게임,게임,3,1000,6,4.4
V000185,2026-09-18 15:59:00,15:00,슬러시 카페,음식,1,2000,7,4.1
V000186,2026-09-18 16:38:00,16:00,캘리그라피 체험,체험,3,1500,1,4.8
V000187,2026-09-18 12:48:00,12:00,다트 챌린지,게임,2,1000,3,4.7
V000188,2026-09-18 12:05:00,12:00,떡볶이 가게,음식,1,3000,13,4.7
V000189,2026-09-18 14:25:00,14:00,캘리그라피 체험,체험,1,1500,5,5.0
V000190,2026-09-18 14:34:00,14:00,다트 챌린지,게임,2,1000,8,4.4
V000191,2026-09-18 15:27:00,15:00,캘리그라피 체험,체험,3,0,3,4.7
V000192,2026-09-18 14:06:00,14:00,사진 부스,체험,2,2000,7,4.7
V000193,2026-09-18 14:06:00,14:00,슬러시 카페,음식,2,2000,7,4.2
V000194,2026-09-18 13:54:00,13:00,슬러시 카페,음식,2,2000,6,4.6
V000195,2026-09-18 13:23:00,13:00,사진 부스,체험,1,2000,11,4.6
V000196,2026-09-18 13:42:00,13:00,사진 부스,체험,3,2000,7,4.6
V000197,2026-09-18 12:12:00,12:00,다트 챌린지,게임,2,0,4,4.7
V000198,2026-09-18 16:11:00,16:00,캘리그라피 체험,체험,3,1500,3,5.0
V000199,2026-09-18 10:24:00,10:00,떡볶이 가게,음식,3,3000,7,4.7
V000200,2026-09-18 15:13:00,15:00,떡볶이 가게,음식,3,3000,9,4.5
V000201,2026-09-18 14:03:00,14:00,방탈출 게임,게임,1,1000,15,4.5
V000202,2026-09-18 12:26:00,12:00,사진 부스,체험,3,2000,10,4.7
V000203,2026-09-18 13:51:00,13:00,슬러시 카페,음식,2,2000,9,4.5
V000204,2026-09-18 12:08:00,12:00,방탈출 게임,게임,1,1000,11,4.3
V000205,2026-09-18 11:46:00,11:00,떡볶이 가게,음식,3,3000,7,4.5
V000206,2026-09-18 15:27:00,15:00,다트 챌린지,게임,3,1000,7,4.5
V000207,2026-09-18 13:52:00,13:00,슬러시 카페,음식,1,2000,6,4.8
V000208,2026-09-18 13:17:00,13:00,사진 부스,체험,2,2000,9,4.4
V000209,2026-09-18 11:14:00,11:00,방탈출 게임,게임,3,0,10,4.4
V000210,2026-09-18 13:27:00,13:00,다트 챌린지,게임,1,1000,4,5.0
V000211,2026-09-18 13:35:00,13:00,사진 부스,체험,2,0,9,4.3
V000212,2026-09-18 13:45:00,13:00,사진 부스,체험,2,2000,11,4.6
V000213,2026-09-18 10:46:00,10:00,떡볶이 가게,음식,3,3000,1,5.0
V000214,2026-09-18 13:59:00,13:00,방탈출 게임,게임,3,1000,18,4.3
V000215,2026-09-18 16:33:00,16:00,떡볶이 가게,음식,1,3000,9,4.4
V000216,2026-09-18 11:45:00,11:00,다트 챌린지,게임,1,1000,6,4.6
V000217,2026-09-18 13:30:00,13:00,다트 챌린지,게임,3,1000,3,4.7
V000218,2026-09-18 14:43:00,14:00,캘리그라피 체험,체험,3,0,3,5.0
V000219,2026-09-18 12:14:00,12:00,방탈출 게임,게임,1,1000,14,4.1
V000220,2026-09-18 14:05:00,14:00,다트 챌린지,게임,2,0,3,4.8
V000221,2026-09-18 13:14:00,13:00,슬러시 카페,음식,2,2000,6,4.7
V000222,2026-09-18 12:25:00,12:00,슬러시 카페,음식,3,2000,5,4.5
V000223,2026-09-18 15:56:00,15:00,캘리그라피 체험,체험,2,1500,8,4.8
V000224,2026-09-18 14:18:00,14:00,방탈출 게임,게임,1,0,14,4.3
V000225,2026-09-18 12:32:00,12:00,떡볶이 가게,음식,1,3000,6,4.6
V000226,2026-09-18 14:48:00,14:00,방탈출 게임,게임,3,1000,15,4.2
V000227,2026-09-18 10:55:00,10:00,떡볶이 가게,음식,3,3000,5,4.7
V000228,2026-09-18 15:19:00,15:00,방탈출 게임,게임,1,1000,13,4.3
V000229,2026-09-18 14:22:00,14:00,캘리그라피 체험,체험,2,0,3,4.7
V000230,2026-09-18 16:04:00,16:00,방탈출 게임,게임,1,1000,8,4.3
V000231,2026-09-18 13:29:00,13:00,떡볶이 가게,음식,1,0,12,4.4
V000232,2026-09-18 15:55:00,15:00,사진 부스,체험,3,2000,5,5.0
V000233,2026-09-18 16:43:00,16:00,다트 챌린지,게임,3,1000,9,4.7
V000234,2026-09-18 12:44:00,12:00,떡볶이 가게,음식,1,0,10,4.6
V000235,2026-09-18 13:46:00,13:00,떡볶이 가게,음식,1,3000,13,4.2
V000236,2026-09-18 16:41:00,16:00,떡볶이 가게,음식,3,3000,9,4.5
V000237,2026-09-18 13:47:00,13:00,떡볶이 가게,음식,2,3000,9,4.5
V000238,2026-09-18 16:45:00,16:00,캘리그라피 체험,체험,2,0,0,5.0
V000239,2026-09-18 15:31:00,15:00,슬러시 카페,음식,3,2000,9,4.6
V000240,2026-09-18 11:18:00,11:00,다트 챌린지,게임,3,1000,7,5.0
V000241,2026-09-18 11:18:00,11:00,사진 부스,체험,3,0,3,5.0
V000242,2026-09-18 16:46:00,16:00,떡볶이 가게,음식,1,3000,5,4.9
V000243,2026-09-18 12:42:00,12:00,사진 부스,체험,2,2000,10,4.3
V000244,2026-09-18 11:34:00,11:00,사진 부스,체험,2,0,6,4.7
V000245,2026-09-18 14:28:00,14:00,떡볶이 가게,음식,2,3000,12,4.2
V000246,2026-09-18 14:29:00,14:00,사진 부스,체험,1,2000,10,4.4
V000247,2026-09-18 11:57:00,11:00,떡볶이 가게,음식,3,3000,7,4.9
V000248,2026-09-18 13:35:00,13:00,떡볶이 가게,음식,3,0,11,4.7
V000249,2026-09-18 11:12:00,11:00,슬러시 카페,음식,2,2000,0,5.0
V000250,2026-09-18 10:43:00,10:00,사진 부스,체험,2,2000,4,4.6
V000251,2026-09-18 16:28:00,16:00,떡볶이 가게,음식,2,3000,8,4.4
V000252,2026-09-18 12:41:00,12:00,다트 챌린지,게임,1,0,9,4.6
V000253,2026-09-18 12:59:00,12:00,슬러시 카페,음식,3,2000,8,4.9
V000254,2026-09-18 13:09:00,13:00,사진 부스,체험,2,2000,10,4.6
V000255,2026-09-18 13:14:00,13:00,슬러시 카페,음식,3,2000,4,4.8
V000256,2026-09-18 10:06:00,10:00,떡볶이 가게,음식,1,3000,8,5.0
V000257,2026-09-18 15:39:00,15:00,캘리그라피 체험,체험,3,1500,4,5.0
V000258,2026-09-18 14:46:00,14:00,방탈출 게임,게임,3,1000,15,3.8
V000259,2026-09-18 10:32:00,10:00,사진 부스,체험,1,2000,7,4.2
V000260,2026-09-18 11:55:00,11:00,다트 챌린지,게임,1,1000,0,4.6
V000261,2026-09-18 13:58:00,13:00,캘리그라피 체험,체험,3,1500,2,5.0
V000262,2026-09-18 16:05:00,16:00,슬러시 카페,음식,3,2000,0,5.0
V000263,2026-09-18 14:20:00,14:00,방탈출 게임,게임,1,1000,8,4.5
V000264,2026-09-18 13:23:00,13:00,방탈출 게임,게임,1,1000,18,3.7
V000265,2026-09-18 16:37:00,16:00,다트 챌린지,게임,2,1000,0,4.4
V000266,2026-09-18 14:47:00,14:00,캘리그라피 체험,체험,3,1500,0,5.0
V000267,2026-09-18 13:44:00,13:00,슬러시 카페,음식,1,2000,7,4.8
V000268,2026-09-18 15:27:00,15:00,다트 챌린지,게임,2,1000,3,4.7
V000269,2026-09-18 14:16:00,14:00,사진 부스,체험,2,0,7,4.2
V000270,2026-09-18 12:07:00,12:00,떡볶이 가게,음식,2,3000,6,4.6
V000271,2026-09-18 13:43:00,13:00,방탈출 게임,게임,1,0,19,3.8
V000272,2026-09-18 13:14:00,13:00,슬러시 카페,음식,1,2000,6,4.4
V000273,2026-09-18 13:44:00,13:00,슬러시 카페,음식,1,2000,10,4.2
V000274,2026-09-18 13:00:00,13:00,사진 부스,체험,1,0,8,4.9
V000275,2026-09-18 15:40:00,15:00,다트 챌린지,게임,3,1000,3,4.8
V000276,2026-09-18 11:31:00,11:00,캘리그라피 체험,체험,1,1500,2,4.6
V000277,2026-09-18 15:20:00,15:00,방탈출 게임,게임,3,0,11,4.8
V000278,2026-09-18 13:05:00,13:00,방탈출 게임,게임,1,0,20,3.8
V000279,2026-09-18 16:56:00,16:00,떡볶이 가게,음식,3,3000,8,3.8
V000280,2026-09-18 13:42:00,13:00,떡볶이 가게,음식,3,3000,11,4.1
V000281,2026-09-18 15:33:00,15:00,슬러시 카페,음식,2,2000,5,4.8
V000282,2026-09-18 12:45:00,12:00,캘리그라피 체험,체험,2,1500,2,4.7
V000283,2026-09-18 14:56:00,14:00,캘리그라피 체험,체험,1,1500,3,4.7
V000284,2026-09-18 13:32:00,13:00,슬러시 카페,음식,3,2000,9,4.8
V000285,2026-09-18 14:14:00,14:00,캘리그라피 체험,체험,1,1500,6,4.9
V000286,2026-09-18 15:29:00,15:00,캘리그라피 체험,체험,2,1500,0,4.7
V000287,2026-09-18 16:38:00,16:00,캘리그라피 체험,체험,1,0,5,4.7
V000288,2026-09-18 10:12:00,10:00,방탈출 게임,게임,2,0,4,4.7
V000289,2026-09-18 12:05:00,12:00,방탈출 게임,게임,3,1000,14,4.1
V000290,2026-09-18 10:19:00,10:00,떡볶이 가게,음식,1,3000,5,4.6
V000291,2026-09-18 13:00:00,13:00,떡볶이 가게,음식,2,3000,14,4.6
V000292,2026-09-18 14:04:00,14:00,방탈출 게임,게임,1,0,10,4.3
V000293,2026-09-18 10:28:00,10:00,다트 챌린지,게임,2,0,0,4.6
V000294,2026-09-18 14:13:00,14:00,사진 부스,체험,3,2000,9,4.3
V000295,2026-09-18 14:21:00,14:00,방탈출 게임,게임,1,0,14,4.1
V000296,2026-09-18 14:03:00,14:00,슬러시 카페,음식,2,2000,7,5.0
V000297,2026-09-18 14:29:00,14:00,슬러시 카페,음식,2,2000,3,5.0
V000298,2026-09-18 10:45:00,10:00,떡볶이 가게,음식,1,3000,2,4.7
V000299,2026-09-18 16:47:00,16:00,다트 챌린지,게임,3,1000,0,5.0
V000300,2026-09-18 14:24:00,14:00,캘리그라피 체험,체험,3,1500,5,4.7
V000301,2026-09-18 13:59:00,13:00,캘리그라피 체험,체험,2,0,2,4.7
V000302,2026-09-18 16:44:00,16:00,떡볶이 가게,음식,3,3000,9,4.6
V000303,2026-09-18 10:38:00,10:00,사진 부스,체험,3,0,3,5.0
V000304,2026-09-18 12:52:00,12:00,슬러시 카페,음식,3,0,9,4.6
V000305,2026-09-18 11:57:00,11:00,떡볶이 가게,음식,2,3000,3,4.8
V000306,2026-09-18 13:33:00,13:00,떡볶이 가게,음식,1,3000,7,4.6
V000307,2026-09-18 15:29:00,15:00,사진 부스,체험,2,2000,5,4.5
V000308,2026-09-18 13:37:00,13:00,떡볶이 가게,음식,3,3000,12,4.8
V000309,2026-09-18 12:20:00,12:00,떡볶이 가게,음식,2,3000,9,4.2
V000310,2026-09-18 15:13:00,15:00,다트 챌린지,게임,1,1000,6,4.7
V000311,2026-09-18 13:55:00,13:00,방탈출 게임,게임,2,1000,19,4.0
V000312,2026-09-18 15:49:00,15:00,사진 부스,체험,2,0,7,5.0
V000313,2026-09-18 12:49:00,12:00,방탈출 게임,게임,2,1000,13,4.3
V000314,2026-09-18 16:26:00,16:00,떡볶이 가게,음식,3,3000,10,3.7
V000315,2026-09-18 12:22:00,12:00,사진 부스,체험,2,2000,8,3.8
V000316,2026-09-18 16:19:00,16:00,떡볶이 가게,음식,2,3000,5,4.7
V000317,2026-09-18 12:29:00,12:00,떡볶이 가게,음식,1,3000,8,4.4
V000318,2026-09-18 12:33:00,12:00,떡볶이 가게,음식,2,3000,9,4.2
V000319,2026-09-18 14:40:00,14:00,떡볶이 가게,음식,3,3000,11,4.7
V000320,2026-09-18 15:24:00,15:00,사진 부스,체험,2,2000,12,4.4
V000321,2026-09-18 15:52:00,15:00,다트 챌린지,게임,2,1000,2,4.8
V000322,2026-09-18 13:51:00,13:00,캘리그라피 체험,체험,1,0,1,4.9
V000323,2026-09-18 15:55:00,15:00,방탈출 게임,게임,2,1000,12,4.0
V000324,2026-09-18 16:12:00,16:00,다트 챌린지,게임,2,1000,0,5.0
